country,team,player,position,dob,tour,start,end,place,prize,startelo64,endelo64
Denmark,Evil Geniuses,cr1t,4,1996-07-13,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1144.3759591487894,1148.3619091526755
Denmark,Evil Geniuses,misery,5,1991-07-14,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1144.3759591487894,1148.3619091526755
Denmark,Team Secret,ace,1,1994-01-19,Captains Draft 4.0,2018-01-04,2018-01-07,1,108000.0,1294.5077506721395,1343.866894969309
Malaysia,Team Secret,midone,2,1996-06-03,Captains Draft 4.0,2018-01-04,2018-01-07,1,108000.0,1294.5077506721395,1343.866894969309
Germany,Team Secret,fata,3,1993-02-24,Captains Draft 4.0,2018-01-04,2018-01-07,1,108000.0,1294.5077506721395,1343.866894969309
Jordan,Team Secret,yapzor,4,1994-10-17,Captains Draft 4.0,2018-01-04,2018-01-07,1,108000.0,1294.5077506721395,1343.866894969309
Estonia,Team Secret,puppey,5,1990-03-06,Captains Draft 4.0,2018-01-04,2018-01-07,1,108000.0,1294.5077506721395,1343.866894969309
Sweden,CompLexity Gaming,chessie,1,1992-12-26,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1083.6268578348306,1058.5703860449603
Sweden,CompLexity Gaming,limmp,2,1995-05-31,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1083.6268578348306,1058.5703860449603
USA,CompLexity Gaming,moo,3,1995-11-09,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1083.6268578348306,1058.5703860449603
USA,CompLexity Gaming,zfreek,4,,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1083.6268578348306,1058.5703860449603
USA,CompLexity Gaming,melonzz,5,,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1083.6268578348306,1058.5703860449603
Brazil,PaiN Gaming,hfn,1,1997-08-31,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1037.7974945913552,1000.9912483085055
Brazil,PaiN Gaming,kingrd,2,1992-01-02,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1037.7974945913552,1000.9912483085055
Brazil,PaiN Gaming,tavo,3,1994-12-19,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1037.7974945913552,1000.9912483085055
Brazil,PaiN Gaming,duster,4,2000-08-08,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1037.7974945913552,1000.9912483085055
Brazil,PaiN Gaming,paada,5,1988-09-01,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1037.7974945913552,1000.9912483085055
Denmark,OG,n0tail,1,1993-10-08,Captains Draft 4.0,2018-01-04,2018-01-07,3,37500.0,1238.0753683526855,1223.0726636736065
Ukraine,OG,resolut1on,2,1996-09-02,Captains Draft 4.0,2018-01-04,2018-01-07,3,37500.0,1238.0753683526855,1223.0726636736065
Sweden,OG,s4,3,1992-04-01,Captains Draft 4.0,2018-01-04,2018-01-07,3,37500.0,1238.0753683526855,1223.0726636736065
Finland,OG,jerax,4,1992-05-07,Captains Draft 4.0,2018-01-04,2018-01-07,3,37500.0,1238.0753683526855,1223.0726636736065
Israel,OG,fly,5,1993-03-09,Captains Draft 4.0,2018-01-04,2018-01-07,3,37500.0,1238.0753683526855,1223.0726636736065
USA,OG,fly,5,,Captains Draft 4.0,2018-01-04,2018-01-07,3,37500.0,1238.0753683526855,1223.0726636736065
Russia,Team Empire,silent,1,1992-12-03,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1086.8498743542373,1047.6562313953007
Ukraine,Team Empire,fn,2,,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1086.8498743542373,1047.6562313953007
Ukraine,Team Empire,ghostik,3,1994-08-24,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1086.8498743542373,1047.6562313953007
Russia,Team Empire,yoky,4,1995-02-07,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1086.8498743542373,1047.6562313953007
Russia,Team Empire,miposhka,5,1997-11-30,Captains Draft 4.0,2018-01-04,2018-01-07,5,12000.0,1086.8498743542373,1047.6562313953007
China,Vici Gaming,paparazi,1,1996-06-27,Captains Draft 4.0,2018-01-04,2018-01-07,2,69000.0,1343.0773494846194,1397.928109828098
China,Vici Gaming,ori,2,,Captains Draft 4.0,2018-01-04,2018-01-07,2,69000.0,1343.0773494846194,1397.928109828098
China,Vici Gaming,eleven,3,1995-12-07,Captains Draft 4.0,2018-01-04,2018-01-07,2,69000.0,1343.0773494846194,1397.928109828098
China,Vici Gaming,lanm,4,1989-12-25,Captains Draft 4.0,2018-01-04,2018-01-07,2,69000.0,1343.0773494846194,1397.928109828098
China,Vici Gaming,fenrir,5,1989-01-18,Captains Draft 4.0,2018-01-04,2018-01-07,2,69000.0,1343.0773494846194,1397.928109828098
Malaysia,Mineski,mushi,1,1990-11-27,Captains Draft 4.0,2018-01-04,2018-01-07,3,37500.0,1195.5519047557418,1174.3246215962295
,Mineski,moon,2,,Captains Draft 4.0,2018-01-04,2018-01-07,3,37500.0,1195.5519047557418,1174.3246215962295
Singapore,Mineski,iceiceice,3,1990-06-17,Captains Draft 4.0,2018-01-04,2018-01-07,3,37500.0,1195.5519047557418,1174.3246215962295
Thailand,Mineski,jabz,4,1998-09-22,Captains Draft 4.0,2018-01-04,2018-01-07,3,37500.0,1195.5519047557418,1174.3246215962295
Philippines,Mineski,ninjaboogie,5,1992-01-31,Captains Draft 4.0,2018-01-04,2018-01-07,3,37500.0,1195.5519047557418,1174.3246215962295
Denmark,OG,n0tail,1,1993-10-08,DOTA Summit 8,2017-12-13,2017-12-17,3,36000.0,1364.032982565255,1216.5967545316644
Ukraine,OG,resolut1on,2,1996-09-02,DOTA Summit 8,2017-12-13,2017-12-17,3,36000.0,1364.032982565255,1216.5967545316644
Sweden,OG,s4,3,1992-04-01,DOTA Summit 8,2017-12-13,2017-12-17,3,36000.0,1364.032982565255,1216.5967545316644
Finland,OG,jerax,4,1992-05-07,DOTA Summit 8,2017-12-13,2017-12-17,3,36000.0,1364.032982565255,1216.5967545316644
Israel,OG,fly,5,1993-03-09,DOTA Summit 8,2017-12-13,2017-12-17,3,36000.0,1364.032982565255,1216.5967545316644
USA,OG,fly,5,,DOTA Summit 8,2017-12-13,2017-12-17,3,36000.0,1364.032982565255,1216.5967545316644
Canada,Evil Geniuses,arteezy,1,1996-07-01,DOTA Summit 8,2017-12-13,2017-12-17,6,9000.0,1253.0346867985534,1132.7766419413608
Pakistan,Evil Geniuses,sumail,2,1999-02-13,DOTA Summit 8,2017-12-13,2017-12-17,6,9000.0,1253.0346867985534,1132.7766419413608
USA,Evil Geniuses,universe,3,1989-10-11,DOTA Summit 8,2017-12-13,2017-12-17,6,9000.0,1253.0346867985534,1132.7766419413608
Denmark,Evil Geniuses,cr1t,4,1996-07-13,DOTA Summit 8,2017-12-13,2017-12-17,6,9000.0,1253.0346867985534,1132.7766419413608
USA,Evil Geniuses,fear,5,1988-02-19,DOTA Summit 8,2017-12-13,2017-12-17,6,9000.0,1253.0346867985534,1132.7766419413608
Sweden,OpTic Gaming,pajkatt,1,1992-09-19,DOTA Summit 8,2017-12-13,2017-12-17,6,9000.0,1119.7042374140626,1089.215042493375
USA,OpTic Gaming,ccampc,2,,DOTA Summit 8,2017-12-13,2017-12-17,6,9000.0,1119.7042374140626,1089.215042493375
Sweden,OpTic Gaming,zai,3,1997-08-05,DOTA Summit 8,2017-12-13,2017-12-17,6,9000.0,1119.7042374140626,1089.215042493375
Macedonia,OpTic Gaming,saksa,4,1995-06-12,DOTA Summit 8,2017-12-13,2017-12-17,6,9000.0,1119.7042374140626,1089.215042493375
USA,OpTic Gaming,ppd,5,1991-11-02,DOTA Summit 8,2017-12-13,2017-12-17,6,9000.0,1119.7042374140626,1089.215042493375
Sweden,CompLexity Gaming,chessie,1,1992-12-26,DOTA Summit 8,2017-12-13,2017-12-17,5,18000.0,1042.1517249446679,1119.3849599627076
Sweden,CompLexity Gaming,limmp,2,1995-05-31,DOTA Summit 8,2017-12-13,2017-12-17,5,18000.0,1042.1517249446679,1119.3849599627076
USA,CompLexity Gaming,moo,3,1995-11-09,DOTA Summit 8,2017-12-13,2017-12-17,5,18000.0,1042.1517249446679,1119.3849599627076
USA,CompLexity Gaming,zfreek,4,,DOTA Summit 8,2017-12-13,2017-12-17,5,18000.0,1042.1517249446679,1119.3849599627076
USA,CompLexity Gaming,melonzz,5,,DOTA Summit 8,2017-12-13,2017-12-17,5,18000.0,1042.1517249446679,1119.3849599627076
Peru,Sacred,benjaz,1,1993-09-30,DOTA Summit 8,2017-12-13,2017-12-17,8,6000.0,1042.4345027090346,999.5807733357287
Peru,Sacred,leostyle,2,1995-06-26,DOTA Summit 8,2017-12-13,2017-12-17,8,6000.0,1042.4345027090346,999.5807733357287
Peru,Sacred,kingteka,3,1997-02-07,DOTA Summit 8,2017-12-13,2017-12-17,8,6000.0,1042.4345027090346,999.5807733357287
Peru,Sacred,matthew,4,,DOTA Summit 8,2017-12-13,2017-12-17,8,6000.0,1042.4345027090346,999.5807733357287
USA,Sacred,demon,5,1990-07-08,DOTA Summit 8,2017-12-13,2017-12-17,8,6000.0,1042.4345027090346,999.5807733357287
,Team Kinguin,exotic_deer,1,,DOTA Summit 8,2017-12-13,2017-12-17,3,36000.0,1089.014235806647,1126.838815101764
Poland,Team Kinguin,nisha,2,2000-09-28,DOTA Summit 8,2017-12-13,2017-12-17,3,36000.0,1089.014235806647,1126.838815101764
Poland,Team Kinguin,patos,3,,DOTA Summit 8,2017-12-13,2017-12-17,3,36000.0,1089.014235806647,1126.838815101764
Poland,Team Kinguin,ellisash,4,1996-07-28,DOTA Summit 8,2017-12-13,2017-12-17,3,36000.0,1089.014235806647,1126.838815101764
Poland,Team Kinguin,kacor,5,,DOTA Summit 8,2017-12-13,2017-12-17,3,36000.0,1089.014235806647,1126.838815101764
Russia,Virtus.pro,ramzes666,1,1999-04-25,DOTA Summit 8,2017-12-13,2017-12-17,1,120000.0,1196.2762247097396,1378.9359347834368
Ukraine,Virtus.pro,noone,2,1997-09-04,DOTA Summit 8,2017-12-13,2017-12-17,1,120000.0,1196.2762247097396,1378.9359347834368
Russia,Virtus.pro,9pasha,3,1992-06-30,DOTA Summit 8,2017-12-13,2017-12-17,1,120000.0,1196.2762247097396,1378.9359347834368
Ukraine,Virtus.pro,lil,4,1995-12-24,DOTA Summit 8,2017-12-13,2017-12-17,1,120000.0,1196.2762247097396,1378.9359347834368
Ukraine,Virtus.pro,artstyle,5,1989-04-20,DOTA Summit 8,2017-12-13,2017-12-17,1,120000.0,1196.2762247097396,1378.9359347834368
China,LGD Gaming,ame,1,1997-04-07,DOTA Summit 8,2017-12-13,2017-12-17,8,6000.0,1043.7635774658186,925.8208937615167
China,LGD Gaming,maybe,2,1995-12-16,DOTA Summit 8,2017-12-13,2017-12-17,8,6000.0,1043.7635774658186,925.8208937615167
China,LGD Gaming,fy,3,1995-02-12,DOTA Summit 8,2017-12-13,2017-12-17,8,6000.0,1043.7635774658186,925.8208937615167
China,LGD Gaming,yao,4,1990-12-23,DOTA Summit 8,2017-12-13,2017-12-17,8,6000.0,1043.7635774658186,925.8208937615167
China,LGD Gaming,qqq,5,1985-09-19,DOTA Summit 8,2017-12-13,2017-12-17,8,6000.0,1043.7635774658186,925.8208937615167
Canada,Fnatic,eternalenvy,1,1991-07-02,DOTA Summit 8,2017-12-13,2017-12-17,2,60000.0,1146.0188213204829,1272.0860108515876
Philippines,Fnatic,abed,2,2000-08-02,DOTA Summit 8,2017-12-13,2017-12-17,2,60000.0,1146.0188213204829,1272.0860108515876
Malaysia,Fnatic,ohaiyo,3,1993-03-31,DOTA Summit 8,2017-12-13,2017-12-17,2,60000.0,1146.0188213204829,1272.0860108515876
Philippines,Fnatic,dj,4,1994-11-06,DOTA Summit 8,2017-12-13,2017-12-17,2,60000.0,1146.0188213204829,1272.0860108515876
Sweden,Fnatic,pieliedie,5,,DOTA Summit 8,2017-12-13,2017-12-17,2,60000.0,1146.0188213204829,1272.0860108515876
Sweden,OpTic Gaming,pajkatt,1,1992-09-19,ROG MASTERS 2017,2017-12-07,2017-12-10,2,58800.0,1124.7496063075382,1122.2008858018157
USA,OpTic Gaming,ccampc,2,,ROG MASTERS 2017,2017-12-07,2017-12-10,2,58800.0,1124.7496063075382,1122.2008858018157
Sweden,OpTic Gaming,zai,3,1997-08-05,ROG MASTERS 2017,2017-12-07,2017-12-10,2,58800.0,1124.7496063075382,1122.2008858018157
Macedonia,OpTic Gaming,saksa,4,1995-06-12,ROG MASTERS 2017,2017-12-07,2017-12-10,2,58800.0,1124.7496063075382,1122.2008858018157
USA,OpTic Gaming,ppd,5,1991-11-02,ROG MASTERS 2017,2017-12-07,2017-12-10,2,58800.0,1124.7496063075382,1122.2008858018157
Singapore,WarriorsGaming.Unity,meracle,1,1996-03-08,ROG MASTERS 2017,2017-12-07,2017-12-10,3,21350.0,1050.2775253286784,1049.250320806154
Jordan,WarriorsGaming.Unity,feero,2,,ROG MASTERS 2017,2017-12-07,2017-12-10,3,21350.0,1050.2775253286784,1049.250320806154
Australia,WarriorsGaming.Unity,velo,3,1995-01-11,ROG MASTERS 2017,2017-12-07,2017-12-10,3,21350.0,1050.2775253286784,1049.250320806154
Jordan,WarriorsGaming.Unity,afromoush,4,1996-12-06,ROG MASTERS 2017,2017-12-07,2017-12-10,3,21350.0,1050.2775253286784,1049.250320806154
Malaysia,WarriorsGaming.Unity,xnova,5,,ROG MASTERS 2017,2017-12-07,2017-12-10,3,21350.0,1050.2775253286784,1049.250320806154
Philippines,Execration,gabbi,1,1995-08-01,ROG MASTERS 2017,2017-12-07,2017-12-10,5,8000.0,1056.2696895571069,1055.1200609861655
Philippines,Execration,bimbo,2,1995-11-15,ROG MASTERS 2017,2017-12-07,2017-12-10,5,8000.0,1056.2696895571069,1055.1200609861655
Philippines,Execration,rr,3,1994-11-08,ROG MASTERS 2017,2017-12-07,2017-12-10,5,8000.0,1056.2696895571069,1055.1200609861655
Philippines,Execration,yaj,4,1998-03-22,ROG MASTERS 2017,2017-12-07,2017-12-10,5,8000.0,1056.2696895571069,1055.1200609861655
Philippines,Execration,kim0,5,1991-10-24,ROG MASTERS 2017,2017-12-07,2017-12-10,5,8000.0,1056.2696895571069,1055.1200609861655
Russia,Team Empire,silent,1,1992-12-03,ROG MASTERS 2017,2017-12-07,2017-12-10,1,117500.0,1032.580297709708,1031.9146597545025
Ukraine,Team Empire,fn,2,,ROG MASTERS 2017,2017-12-07,2017-12-10,1,117500.0,1032.580297709708,1031.9146597545025
Ukraine,Team Empire,ghostik,3,1994-08-24,ROG MASTERS 2017,2017-12-07,2017-12-10,1,117500.0,1032.580297709708,1031.9146597545025
Russia,Team Empire,miposhka,4,1997-11-30,ROG MASTERS 2017,2017-12-07,2017-12-10,1,117500.0,1032.580297709708,1031.9146597545025
Russia,Team Empire,vanskor,5,1995-01-20,ROG MASTERS 2017,2017-12-07,2017-12-10,1,117500.0,1032.580297709708,1031.9146597545025
,PENTA Sports,skiter,1,,ROG MASTERS 2017,2017-12-07,2017-12-10,3,21350.0,938.2918813243164,939.5526207534297
Germany,PENTA Sports,nine,2,,ROG MASTERS 2017,2017-12-07,2017-12-10,3,21350.0,938.2918813243164,939.5526207534297
Finland,PENTA Sports,buugi,3,,ROG MASTERS 2017,2017-12-07,2017-12-10,3,21350.0,938.2918813243164,939.5526207534297
Croatia,PENTA Sports,dnz,4,1994-12-23,ROG MASTERS 2017,2017-12-07,2017-12-10,3,21350.0,938.2918813243164,939.5526207534297
Germany,PENTA Sports,rmn,5,1993-12-17,ROG MASTERS 2017,2017-12-07,2017-12-10,3,21350.0,938.2918813243164,939.5526207534297
China,Team MAX,fonte,1,1996-08-18,ROG MASTERS 2017,2017-12-07,2017-12-10,5,8000.0,911.225519164424,913.0392430420987
,Team MAX,dstones,2,,ROG MASTERS 2017,2017-12-07,2017-12-10,5,8000.0,911.225519164424,913.0392430420987
China,Team MAX,chalice,3,1998-08-16,ROG MASTERS 2017,2017-12-07,2017-12-10,5,8000.0,911.225519164424,913.0392430420987
China,Team MAX,hy,4,,ROG MASTERS 2017,2017-12-07,2017-12-10,5,8000.0,911.225519164424,913.0392430420987
China,Team MAX,demons,5,,ROG MASTERS 2017,2017-12-07,2017-12-10,5,8000.0,911.225519164424,913.0392430420987
Russia,Virtus.Pro,ramzes666,1,1999-04-25,MDL Macau,2017-12-08,2017-12-10,3,30000.0,1156.5250145785021,1143.3763514713416
Ukraine,Virtus.Pro,noone,2,1997-09-04,MDL Macau,2017-12-08,2017-12-10,3,30000.0,1156.5250145785021,1143.3763514713416
Russia,Virtus.Pro,9pasha,3,1992-06-30,MDL Macau,2017-12-08,2017-12-10,3,30000.0,1156.5250145785021,1143.3763514713416
Ukraine,Virtus.Pro,lil,4,1995-12-24,MDL Macau,2017-12-08,2017-12-10,3,30000.0,1156.5250145785021,1143.3763514713416
Ukraine,Virtus.Pro,artstyle,5,1989-04-20,MDL Macau,2017-12-08,2017-12-10,3,30000.0,1156.5250145785021,1143.3763514713416
China,LGD Gaming,ame,1,1997-04-07,MDL Macau,2017-12-08,2017-12-10,8,9000.0,1111.7324252220067,1044.6763460317668
,LGD Gaming,somnusm,2,,MDL Macau,2017-12-08,2017-12-10,8,9000.0,1111.7324252220067,1044.6763460317668
China,LGD Gaming,fy,3,1995-02-12,MDL Macau,2017-12-08,2017-12-10,8,9000.0,1111.7324252220067,1044.6763460317668
China,LGD Gaming,yao,4,1990-12-23,MDL Macau,2017-12-08,2017-12-10,8,9000.0,1111.7324252220067,1044.6763460317668
China,LGD Gaming,victoria,5,1995-11-05,MDL Macau,2017-12-08,2017-12-10,8,9000.0,1111.7324252220067,1044.6763460317668
China,EHOME,oldchicken,1,1993-05-26,MDL Macau,2017-12-08,2017-12-10,5,9000.0,1095.7608401235202,1084.298148254315
China,EHOME,cty,2,1994-12-16,MDL Macau,2017-12-08,2017-12-10,5,9000.0,1095.7608401235202,1084.298148254315
,EHOME,faith_bian,3,,MDL Macau,2017-12-08,2017-12-10,5,9000.0,1095.7608401235202,1084.298148254315
China,EHOME,hym,4,,MDL Macau,2017-12-08,2017-12-10,5,9000.0,1095.7608401235202,1084.298148254315
China,EHOME,y,5,1998-08-08,MDL Macau,2017-12-08,2017-12-10,5,9000.0,1095.7608401235202,1084.298148254315
China,LGD.Forever Young,monet,1,1999-09-25,MDL Macau,2017-12-08,2017-12-10,6,9000.0,1154.802152093058,1174.549120251959
China,LGD.Forever Young,super,2,1993-01-04,MDL Macau,2017-12-08,2017-12-10,6,9000.0,1154.802152093058,1174.549120251959
China,LGD.Forever Young,inflame,3,1992-12-22,MDL Macau,2017-12-08,2017-12-10,6,9000.0,1154.802152093058,1174.549120251959
Malaysia,LGD.Forever Young,ahfu,4,1994-06-06,MDL Macau,2017-12-08,2017-12-10,6,9000.0,1154.802152093058,1174.549120251959
Macau,LGD.Forever Young,ddc,5,1990-07-03,MDL Macau,2017-12-08,2017-12-10,6,9000.0,1154.802152093058,1174.549120251959
Philippines,TNC Pro Team,raven,1,1998-09-22,MDL Macau,2017-12-08,2017-12-10,2,65000.0,1268.2028432930094,1207.254853228109
Philippines,TNC Pro Team,kuku,2,1996-09-21,MDL Macau,2017-12-08,2017-12-10,2,65000.0,1268.2028432930094,1207.254853228109
,TNC Pro Team,sam_h,3,,MDL Macau,2017-12-08,2017-12-10,2,65000.0,1268.2028432930094,1207.254853228109
Philippines,TNC Pro Team,tims,4,1997-07-04,MDL Macau,2017-12-08,2017-12-10,2,65000.0,1268.2028432930094,1207.254853228109
Canada,TNC Pro Team,1437,5,,MDL Macau,2017-12-08,2017-12-10,2,65000.0,1268.2028432930094,1207.254853228109
Australia,VGJ.Storm,kpii,1,,MDL Macau,2017-12-08,2017-12-10,9,9000.0,1100.249054370701,999.665491877934
USA,VGJ.Storm,ryoya,2,,MDL Macau,2017-12-08,2017-12-10,9,9000.0,1100.249054370701,999.665491877934
USA,VGJ.Storm,sneyking,3,1995-05-03,MDL Macau,2017-12-08,2017-12-10,9,9000.0,1100.249054370701,999.665491877934
USA,VGJ.Storm,francislee,4,,MDL Macau,2017-12-08,2017-12-10,9,9000.0,1100.249054370701,999.665491877934
USA,VGJ.Storm,stanking,5,,MDL Macau,2017-12-08,2017-12-10,9,9000.0,1100.249054370701,999.665491877934
Peru,Infamous,kotarhayama,1,1997-01-31,MDL Macau,2017-12-08,2017-12-10,7,9000.0,978.9824497282312,1082.467623087048
Argentina,Infamous,papita,2,1995-01-19,MDL Macau,2017-12-08,2017-12-10,7,9000.0,978.9824497282312,1082.467623087048
Peru,Infamous,stinger,3,1996-12-15,MDL Macau,2017-12-08,2017-12-10,7,9000.0,978.9824497282312,1082.467623087048
