cog,name,id,dob
China,He Yongzheng,Inflame,1992-12-22
Russia,Dmitrii Filinov,Inmate,1991-11-12
Russia,Marie Gunina,Inverno,1992-12-29
China,He Zhipeng,JUST,1998-08-07
Thailand,Anucha Jirawong,Jabz,1998-09-22
Canada,Andrew Jenkins,Jenkins,1995-10-20
Finland,Jesse Vainikka,JerAx,1992-05-07
Peru,Diego Rivera,Jericho,1994-11-20
Philippines,Jessie Cristy Cuyco,JessieVash,1990-02-21
Canada,Jio Madayag,Jeyo,1993-04-19
China,Xiao Zihao,Jixing,1993-11-21
France,Sullivan Carlotti,Joraal,1993-11-07
Russia,Egor Surkov,JotM,1993-02-26
Philippines,Julius De Leon,Julz,1992-12-21
China,Lin Shiyang,June,1994-08-28
Philippines,Patrick Pascua,JyC,1991-08-19
China,Zhao Kai,Kabu,1992-07-16
Singapore,Teo Kai Sheng,Kai,1995-12-02
China,Hu Liangzhi,Kaka,1992-11-07
China,Liu Chang,Freeze,1996-12-27
Malaysia,Fadil bin Mohd Raziff,Kecik Imba,1996-03-30
Greece,Grigoris Kallianiotis,Keyser,1996-06-10
Germany,Maurice Gutmann,KheZu,1995-04-27
Philippines,Kimuel Borromeo Rodis,Kim0,1991-10-24
Russia,Rinat Abdullin,KingR,1993-08-22
Brazil,Danylo Nascimento,Kingrd,1992-01-02
Peru,Abraham Canez,Kingteka,1997-02-07
Netherlands,Muriëlle Huisman,Kipspul,1991-05-22
Turkey,Emre Canlı,Klasynky,1991-09-20
Indonesia,Farand Kowara,KoaLa,1988-04-21
United States,Steven Ashworth,Korok,1993-09-02
United States,Dakota Cox,KotLGuy,1984-11-16
Peru,Alonso León,Kotarō Hayama,1997-01-31
United States,Bryan Herren,Kpoptosis,1991-01-19
Philippines,Carlo Palad,Kuku,1996-09-21
Germany,Kuro Salehi Takhasomi,KuroKy,1992-10-28
Philippines,Kyrie Eleison Ygdrasil Depra Singson,KyrieDepra,1998-09-21
Russia,Serafim Savelyev,L0lik O,1994-07-21
USA,David Gorman,LD,1986-06-03
Thailand,Pipat Prariyachat,LaKelz,1989-10-26
China,Zhang Zhicheng,LaNm,1989-12-25
Croatia,Dominik Stipic,Lacoste,1987-11-22
Serbia,Nikola Popović,LeBronDota,1990-04-23
Peru,Leonardo Sifuentes,LeoStyle-,1995-06-26
Germany,Timo Waszek,Ler GG,1990-02-23
China,Wang Yutian,Liekkas,1992-11-22
Russia,Dmitry Kupriyanov,LighTofHeaveN,1988-01-04
Ukraine,Ilya Ilyuk,Lil,1995-12-24
Brazil,Marcio Rodrigues,Lil kin6,1995-10-04
Sweden,Linus Blomdin,Limmp,1995-05-31
Denmark,Sylvester Hoelgaard,Link,1992-04-19
Brazil,Rodrigo Lelis Santos,Liposa,1996-11-24
Sweden,Jonathan Berg,Loda,1988-03-19
China,Huang Xiang,LongDD,1988-01-30
China,Luo Puchao,Lpc,1990-01-12
Singapore,Chan Jun Jie,Lubby,1994-06-02
Germany,Merlin Seibel,Luft,1996-10-29
USA,David Zhang,Luminous,1988-08-04
China,Zhou Xinyi,Lwy,1994-09-14
Finland,Lasse Aukusti Urpalainen,MATUMBAMAN,1995-03-03
Denmark,Rasmus Berth Filipsen,MiSeRy,1991-07-14
China,Lei Zengrong,MMY,1989-09-10
South Korea,Pyo No-a,MP,1994-04-16
Denmark,Brian Strandby,MaNia,1984-09-03
United Kingdom,Alex Richardson,Machine,1993-08-31
Russia,Igor Modenov,Maden,1995-05-20
Denmark,Jacob Toft-Andersen,Maelk,1986-06-18
Jordan,Anas Hirzallah,MagE-,1997-12-14
Ukraine,Andrey Chipenko,Mag~,1990-05-10
Czech Republic,Pavel Beneš,Mambos,1996-10-05
Brazil,Leonardo Viana,Mandy,1999-03-15
Kazakhstan,Yernar Urazbayev,Mantis,1992-08-25
Romania,Cosmin Nechifor,Masakary,1992-05-28
Mongolia,Enkhbayar Batsukh,Masquerade,1991-10-26
Russia,Leonard Urich,Massacre,1992-02-17
USA,Travis Bueno,Maut,1990-12-25
China,Zhang Hangqi,MelodyLovers,1989-12-28
Singapore,Galvin Kang Jian Wen,Meracle,1996-03-08
USA,Ben Wu,Merlini,1987-10-23
Bosnia and Herzegovina,Milan Kozomara,MiLAN,1995-06-23
Malaysia,Yeik Nai Zheng,MidOne,1996-06-03
China,Tong Junjie,Mikasa,1986-10-21
Bulgaria,Ivan Borislavov Ivanov,MinD ContRoL,1995-01-20
Sweden,Hampus Olsson,Mini,1993-09-08
Russia,Yaroslav Naidenov,Miposhka,1997-11-30
Jordan,Amer Al-Barkawi,Miracle-,1997-06-20
Sweden,Jesper Nyhlén,Mirakel,1990-02-18
Russia,Mikhail Agatov,Misha,1997-07-24
Croatia,Damir Škaričić,Mitch,1992-04-27
China,Du Peng,Monet,1999-09-25
United States,David William Hull,Moo,1995-11-09
China,Xu Han,Moogy,1994-04-19
Malaysia,Kam Boon Seng,Moon (Kam Boon Seng),1995-02-12
Canada,David Tan,MoonMeander,1992-01-28
Ukraine,Vladyslav Suzdal,Mtrx4u,1988-10-22
China,Zhang Pan,Mu,1989-12-24
Malaysia,Chai Yee Fung,Mushi,1990-11-27
Thailand,Kittikorn Inngoen,MyPro,1992-06-25
Denmark,Johan Sundstein,N0tail,1993-10-08
Turkey,Selim Oynar,Neqroman,1994-12-30
India,Moin Ejaz,NO Chanc3,1992-10-02
Russia,Yaroslav Kuznetsov,NS,1988-09-24
Indonesia,Azam Aljabar Nafari,Nafari,1993-09-18
Philippines,Fernando Mendoza,Nando,1996-10-31
Malaysia,Wai Pern Lim,Net (player),1991-10-13
Russia,Igor Lisakovsky,Nexus,1992-08-04
Poland,Michał Jankowski,Nisha,2000-09-28
Russia,Alexander Churochkin,NoFear,1993-07-03
Denmark,Danny Mørch Junget,Noia,1989-07-17
Ukraine,Vladimir Minenko,Noone,1997-09-04
South Africa,Ben Steenhuisen,Noxville,1988-09-30
Singapore,Wong Jeng Yih,NutZ,1989-08-31
United Kingdom,Owen Davies,ODPixel,1993-03-29
Malaysia,Khoo Chong Xin,Ohaiyo,1993-03-31
Philippines,Joshua Dela Serna,Owa,1993-05-05
Brazil,Arthur Zarzur Curiati,PAADA,1988-09-01
France,Titouan Merloz,PARIS,1992-08-19
Russia,Vladimir Anosov,PGG,1990-11-13
Russia,Andrei Dunaev,PSM,1986-08-19
Sweden,Axel Källman,Pablo,1995-08-31
Sweden,Per Anders Olsson Lille,Pajkatt,1992-09-19
Belarus,Nikita Grinkevich,Palantimos,1997-06-05
China,Zhang Chengjun,Paparazi灬,1996-06-27
Argentina,Mariano Caneda,Papita,1995-01-19
China,Peng Renjie,Piao,1995-08-23
Ukraine,Yaroslav Vasylenko,Pikachu,1997-04-13
Singapore,Wilson Koh Chin Wei,Poloson,1996-04-28
China,Zhao Jiabin,PrettyHaw,1992-09-16
Estonia,Clement Ivanov,Puppey,1990-03-06
United States,Kevin Godec,Purge (Kevin Godec),1987-08-17
United Kingdom,Ted Forsyth,PyrionFlax,1976-03-29
China,Fu Bin,Q,1993-04-18
South Korea,Kim Seon-yeop,QO,1993-09-22
China,Yao Yi,QQQ,1985-09-19
Russia,Roman Kushnarev,RAMZES666,1999-04-25
Philippines,Ralph Richard Peñano,RR,1994-11-08
China,Chen Mingyang,RampaGe,1994-06-02
Philippines,Rafael Sicat Palo,Rapy,1996-11-08
Philippines,Marc Polo Luis Fausto,Raven,1998-09-22
Brazil,Gabriel Pinheiro De Morais,Rayuur,1998-12-05
Greece,Nikos Kiazolis,ReaLaxXx,1991-07-30
United Kingdom,Paul Chaloner,Redeye,1971-11-11
South Korea,Lee Jun-yeong,Reisen,1993-03-04
Ukraine,Roman Fominok,Resolut1on,1996-09-02
Mongolia,Temuulen Amarsaikhan,Retribution,1996-10-30
Malaysia,Roger Tan,Roddgeee,1994-01-09
Russia,Vladimir Nikogosyan,RodjER,1993-12-14
Kyrgyzstan,Bektur Kulov,Runec,1997-10-22
Denmark,Christoffer Borregaard Winther,Ryze,1989-02-20
Mongolia,Enkh-Od Nergui,SANKE,1992-10-27
USA,Shannon Scotten,SUNSfan,1985-08-14
China,Li Guo,Sag,1987-12-07
China,Luo Yebo,Luobo,1994-07-01
China,Xu Zichen,Fran,1995-07-21
Macedonia,Martin Sazdov,Saksa,1995-06-12
Philippines,Samson Solomon Enojosa Hidalgo,Sam H,1994-12-12
China,Wang Zhaohui,SanSheng,1989-06-13
Russia,Alexander Koltan,Santa,1989-06-10
Russia,Roman Sadotenkov,Scandal,1991-12-04
China,Song Chun,Sccc,1995-08-18
Peru,Elvis De la Cruz Peña,Scofield,1998-04-29
Russia,Vadim Musorin,Sedoy,1992-06-08
South Korea,Ryoo Kyung Hyun,SeleCT,1988-10-21
Netherlands,Alaan Faraj,SexyBamboe,1992-01-20
Ukraine,Eugeniy Aleskeev,Sh4dowehhh,1996-06-23
Russia,Maxim Abramovskikh,Shachlo,1992-05-22
Malaysia,Raymond Wong Kie Yong,Sharky,Nan
Netherlands,Jorien van der Heijden,Sheever,1985-04-26
China,Huang Jiwei,Shiki,1992-10-07
Russia,Airat Gaziev,Silent,1992-12-03
Netherlands,WehSing Yuen,SingSing,1991-06-19
United States,Jingjun Wu,Sneyking,1995-05-03
Russia,Akbar Butaev,SoNNeikO,1997-05-16
Denmark,Sebastian Kjær,Solen,1992-07-09
Russia,Alexei Berezin,Solo,1990-08-07
China,Lu Yao,Maybe,1995-12-16
Peru,Steven Vargas,StingeR,1996-12-15
Pakistan,Syed Sumail Hassan,SumaiL,1999-02-13
Brazil,José Freitas Pereira,Sune,1991-06-16
Belarus,Kirill Kachinsky,Sunlight,1995-11-25
China,Xie Junhao,Super,1993-01-04
Serbia,Uroš Galić,Swiftending,1993-07-01
Malaysia,Byron Young Meng Keen,Syeonix,1998-10-02
China,Liu Jiajun,Sylar,1993-12-20
Canada,Tyler Cook,TC,1992-04-04
Norway,Tommy Le,Taiga,1999-07-04
Brazil,Otávio Gabriel Cerqueira Silva,Tavo,1994-12-19
Philippines,John Linuel Abanto,Teehee,1995-11-20
Brazil,Therence Coelho Ferreira,Therence,1995-01-29
Brazil,Thiago de Oliveira Cordeiro,Thiolicor,1999-08-10
United States,Andrew Biessener,TidesofTime,1991-12-31
Peru,Enzo Gianoli,Timado,2000-09-06
Philippines,Timothy John Randrup,Tims,1997-07-04
Australia,Toby Dawson,TobiWan,1985-07-24
Finland,Kalle Saarinen,Trixi,1989-12-28
Singapore,Yao Wen Teo,Tudi,1996-09-02
United States,Saahil Arora,UNiVeRsE,1989-10-11
Russia,Dmitry Bolshakov,UnderShock,1996-07-13
Russia,Ivan Skorokhod,VANSKOR,1995-01-20
Australia,Kim Tae-sung,Velo,1995-01-11
China,Chen Guanhong,Victoria,1995-11-05
Russia,Ivan Shinkarev,Vigoss,1987-10-31
China,Yan Chao,Waixi,1996-11-12
Canada,Peter Nguyễn,Waytosexy,1993-12-08
Sweden,Johan Westberg,Weppas,1992-03-23
Malaysia,Chan Litt Binn,WinteR,1989-08-21
United States,Will Davis,WwD,1996-01-21
Ukraine,Alexander Dashkevich,XBOCT,1990-12-29
Russia,Evgeny Kochetov,XaKoH,1990-07-13
Indonesia,Kenny Deo,Xepher,1996-06-27
China,Luo Yinqi,Luo,1990-10-25
China,Meng Lei,Xiao2lei,1993-07-21
Malaysia,Joel Chan Zhan Leong,XtiNcT,1988-10-16
China,Lin Jing,Xxs,1999-08-21
China,Chen Zezhi,Xz,1992-10-18
China,Jiang Cen,YYF,1987-02-03
Indonesia,Yusuf Kurniawan,Yabyoo,1996-03-11
China,Zhou Haiyang,Yang,1996-11-15
China,Yao Zhengzheng,Yao,1990-12-23
China,Bu Yanjun,YaphetS,1990-03-08
Jordan,Yazied Jaradat,YapzOr,1994-10-17
China,Gong Jian,ZSMJ,1990-01-11
Kyrgyzstan,Bakyt Emilzhanov,Zayac,1998-12-02
China,Feng Yichuan,ZeroPerfect,1992-09-05
China,Chen Yao,Zhou,1990-06-14
Peru,Jesus Carhuaricra,Ztok,1995-05-18
United States,Andrew Campbell,Zyori,1989-10-16
Thailand,Chanon Chiwpreecha,AabBAA,1990-09-07
Malaysia,Tue Soon Chuan,Ahfu,1994-06-06
Australia,Anathan Pham,Ana,1999-10-26
China,Zhou Yang,BLink,1992-07-31
Romania,Pittner Armand,BOne7,1991-02-20
Russia,Vladislav Morozyuk,Blowyourbrain,1992-10-03
Thailand,Anurat Praianun,Boombell,1990-06-30
Indonesia,Muhammad Damar,Bubu,1993-10-23
Brazil,Emilano Ito Gerotto Yamakawa,C4t,1993-02-12
Sweden,Julius Åberg,CYso,1992-04-28
Romania,Mihai Antonio,CanceL^^,1996-10-17
Belarus,Eugene Kastrama,Chshrct,1990-09-05
Macau,Leong Fat-meng,Ddc,1990-07-03
Croatia,Dino Šavuk,Dnz,1994-12-23
Poland,Rafał Wójcik,EL lisasH,1996-07-28
China,Ren Yangwei,ELeVeN,1995-12-07
Belarus,Artsiom Barshack,Fng,1995-09-24
China,Xu Linsen,Fy,1995-02-12
Serbia,Gordan Prosic,G0g1,1988-10-19
Albania,Ylli Ramadani,Garter,1991-09-26
Kazakhstan,Dulat Seidimomyn,Goddam,1995-09-12
Brazil,William Medeiros de Anastácio,HFn,1997-08-31
Germany,Dominik Buhmann,Hex0r,1991-03-21
Singapore,Benedict Lim Han Yong,Hyhy,1990-03-06
Romania,Razvan Borceanu,ILLusionisT,1993-03-17
Russia,Igor Filatov,ILTW,1999-10-29
Sweden,Aydin Sarkohi,INsania,1994-06-18
China,Li Peng,Iceice,1995-08-06
Singapore,Daryl Koh Pei Xiang,Iceiceice,1990-06-17
United States,Michael Ghannam,Ixmike88,1991-06-07
Belarus,Alexei Lipai,J4,1992-05-12
Canada,Marcus Dastrup,Jigglebilly,1994-06-09
Sweden,Jonas Lindholm,Jonassomfan,1992-09-22
Malaysia,Lee Kong Yang,KYxY,1991-05-26
China,Zhang Xuanhao,Le,1993-08-08
Bosnia and Herzegovina,Admir Salkanović,LizZard,1991-12-11
China,Chen Long,Longb,1992-09-20
France,Charlie Lelievre,MarSu,1989-07-01
United States,Mason Venne,Mason,1991-11-02
Turkey,Alperen Arslan,MdL (Alperen Arslan),1995-08-13
Sweden,Michael Vu,MiCKe,1999-07-26
Denmark,Mikkel Berg,MiGGel,1987-12-16
China,Zeng Yulei,Mool,1994-08-26
Finland,Sampsa Kutvonen,Nemphy,1996-12-26
Philippines,Michael Ross Jr.,Ninjaboogie,1992-01-31
China,Wang Zhiyong,Old chicken,1993-05-26
Germany,Pascal Lohmeier,PaS,1992-10-25
United States,Peter Dager,Ppd,1991-11-02
Serbia,Stefan Pavlovic,PwN,1994-04-30
China,Bai Fan,ROtK,1992-03-13
Germany,Roman Paley,RmN-,1993-12-17
Philippines,Ryo Hasegawa,RyOyr,1992-10-03
Sweden,Gustav Magnusson,S4,1992-04-01
China,Chu Zeyu,Shadow (player),1997-03-21
Sweden,Rikard Holm Melin,Skrff,1988-10-18
China,Li Yajun,Sugar baby,1995-03-16
China,Su Peng,Super (Su Peng),1989-10-19
Denmark,Troels Lyngholt Nielsen,SyndereN,1989-12-24
Switzerland,Adrien Putallaz,V0ja,1988-07-12
Ukraine,Vitalii Volochai,V1lat,1986-08-08
Peru,Juan Carlos Tito Carrizales,VanN,1994-06-15
Croatia,Aleksandar Miloshevich,Vandersar,1998-06-01
Romania,Aliwi Omar,W33,1995-03-06
Belarus,Oleg Zinovenko,Wejustzik,1991-09-02
Germany,Felix Schipke,WwieWambo,1995-03-15
Singapore,Nicholas Kelvin Ileto Lim,XFreedom,1993-05-10
Australia,Justin Yuen,MusiCa,1990-12-12
Australia,Augustus John Casanada,XRag,1996-08-04
China,Zhang Ning,Xiao8,1989-11-14
Singapore,Toh Wai Hong,Xy-,1991-12-27
Philippines,Jayjay Garan,Yaj,1998-03-22
China,Zhang Yiping,Y`,1998-08-08
Russia,Maxim Kim,Yoky-,1995-02-07
Russia,Vladimir Basov,Yol,1993-05-13
Sweden,Ludwig Wåhlberg,Zai,1997-08-05
Russia,Evgeniy Kuznetsov,Женя,1992-08-18
China,Wang Liang,闷油瓶,1994-11-30
